"user_id","num_clicks","num_sessions","avg_session_duration","age","gender","married","has_children","home_country","home_city","time_spent","num_trips","num_flights","num_booked_hotel","money_spent_hotel","distance_flown","total_booking_price","total_cancellation","total_flight_with_discount","total_hotel_with_discount","avg_flight_discount","avg_hotel_discount","groups","age_bucket"
"23557","185","12","295.78","65","F","true","false","usa","new york","3","3","2","3","3906.50","576.1819985601524","3990.1910","0","1","1","0.15","0.25","Senior Traveller","56+"
"94883","100","12","62.17","52","F","true","false","usa","kansas city","2","3","6","2","230","15911.002927590582","5584.86","0","0","0","","","Middle-aged frequent traveller","46-55"
"101486","340","13","659.54","51","F","true","true","usa","tacoma","2","3","4","3","2387","1991.363199565424","2738.7425","0","1","0","0.05","","Family Traveller","46-55"
"101961","218","12","135.42","44","F","true","false","usa","boston","2","7","12","7","3151","10838.476352368265","5075.233","0","1","0","0.10","","Business traveller","26-45"
"106907","368","14","501.95","46","F","true","true","usa","miami","2","2","1","2","2185.2","2084.7799099765866","2350.71","0","0","1","","0.20","Family Traveller","46-55"
"118043","210","13","226.72","52","F","false","true","usa","los angeles","2","5","6","4","5616.45","7515.495499221524","7955.74","0","1","3","0.20","0.12","Family Traveller","46-55"
"120851","329","13","628.15","52","F","true","true","usa","santa ana","2","3","6","3","4574","4467.358791642443","5382.954","0","1","0","0.10","","Family Traveller","46-55"
"125845","340","13","675.54","40","F","true","false","usa","el paso","2","4","8","4","876.2","11463.364266120117","2943.9170","0","2","1","0.15","0.10","Middle-aged frequent traveller","26-45"
"133058","113","13","65.31","19","F","false","false","usa","austin","2","2","2","1","871.25","2887.178515652686","1294.76","0","0","1","","0.15","Dreamer","17-25"
"149058","185","12","158.42","51","F","false","true","usa","birmingham","2","5","10","5","5579","9799.360157894496","7498.1325","0","1","0","0.05","","Family Traveller","46-55"
"152583","202","10","295.96","38","F","false","false","usa","colorado springs","2","1","2","1","426","2265.716295635522","793.83","0","0","0","","","Dreamer","26-45"
"153982","253","11","481.96","46","F","false","true","canada","toronto","2","4","8","4","1913","4741.429110772935","2702.96","0","0","0","","","Family Traveller","46-55"
"160754","294","10","790.90","46","F","true","true","usa","new york","2","1","2","1","428","527.63183389388","521.62","0","0","0","","","Family Traveller","46-55"
"164522","139","10","191.29","49","F","true","false","usa","kansas city","2","1","2","1","3029","1807.646503324766","3340.9040","0","1","0","0.05","","Dreamer","46-55"
"174997","267","9","893.78","33","F","false","false","usa","grand rapids","2","2","4","2","448","3076.5515684977086","1038.43","0","0","0","","","Dreamer","26-45"
"175032","174","14","92.14","30","F","false","false","usa","houston","2","4","5","4","3691.80","5180.188189335939","5025.44","0","0","2","","0.13","Young frequent traveller","26-45"
"181157","378","10","851.30","54","F","true","false","usa","houston","2","3","6","3","4987.80","3640.3724531218977","5946.8255","0","1","1","0.15","0.15","Middle-aged frequent traveller","46-55"
"187212","187","12","115.50","55","F","true","true","usa","los angeles","2","3","6","3","904","7396.6715634819375","2146.57","0","0","0","","","Family Traveller","46-55"
"189676","312","10","803.20","36","F","false","true","usa","fort worth","2","2","2","2","5001","2350.536145550067","6245.31","0","0","0","","","Family Traveller","26-45"
"190866","444","12","751.58","38","F","false","false","usa","tallahassee","2","6","12","6","1573","15805.131178384312","4311.55","0","0","0","","","Business traveller","26-45"
